"legacyId","parentId","qubitParentSlug","identifier","accessionNumber","title","radGeneralMaterialDesignation","levelOfDescription","repository","extentAndMedium","archivalHistory","scopeAndContent","physicalCharacteristics","acquisition","arrangement","language","locationOfOriginals","accessConditions","accruals","institutionIdentifier","descriptionStatus","generalNote","eventDates"
3,,"margaret-messer-2","S1","86-4","Education","Textual records","Series","University of Regina Archives & Special Collections","1 box",,"This series contains materials related to Margaret Messer's own education, including school programs, reports, diplomas, and university certificates.",,,,"en","Basement, 86-4, Box 1","Open to Researchers","Further accruals are not expected","URASC","Draft",,"1916-1983"
4,3,,"F1","86-4","School Commencement Programs","Textual records","File","University of Regina Archives & Special Collections","1 file",,,,,,"en","Basement, 86-4, Box 1, File 1","Open to Researchers",,"URASC","Draft",,"1920-21, 1926, 1939-43"
5,3,,"F2","86-4","School Reports and Teachers Diplomas","Textual records","File","University of Regina Archives & Special Collections","1 file",,,,,,"en","Basement, 86-4, Box 1, File 2","Open to Researchers",,"URASC","Draft",,"1916-59"
6,3,,"F3","86-4","School Transcripts","Textual records","File","University of Regina Archives & Special Collections","1 file",,,,,,"en","Basement, 86-4, Box 1, File 3","Open to Researchers",,"URASC","Draft",,"1933-34, 1945, 1948-49, 1961"
7,3,,"F4","86-4","Teachers College, Columbia University","Textual records","File","University of Regina Archives & Special Collections","1 file",,,,,,"en","Basement, 86-4, Box 1, File 4","Open to Researchers",,"URASC","Draft",,"1956-68, 1983"
8,3,,"F5","86-4","University of Saskatchewan, Art II","Textual records","File","University of Regina Archives & Special Collections","1 file",,,,,,"en","Basement, 86-4, Box 1, File 5","Open to Researchers",,"URASC","Draft",,1939
9,3,,"F6","86-4","University of Saskatchewan, Bachelor of Arts Certificate [oversize]","Textual records","File","University of Regina Archives & Special Collections","1 file",,,,,,"en","Basement, 86-4, Box 1, File 6","Open to Researchers",,"URASC","Draft",,1939
10,3,,"F7","86-4","University of Saskatchewan, Bachelor of Arts Honours Certificate [oversize]","Textual records","File","University of Regina Archives & Special Collections","1 file",,,,,,"en","Basement, 86-4, Box 1, File 7","Open to Researchers",,"URASC","Draft",,1940
11,3,,"F8","86-4","University of Saskatchewan, Bachelor of Education Certificate, 1942 [oversize]","Textual records","File","University of Regina Archives & Special Collections","1 file",,,,,,"en","Basement, 86-4, Box 1, File 8","Open to Researchers",,"URASC","Draft",,1942
12,,"margaret-messer-2","S2","86-4","General","Textual records | Graphic material","Series","University of Regina Archives & Special Collections","Approx. 1.5 boxes",,"This series includes general materials such as artefacts, biographical information, records of commissions, general correspondence, curriculum development, drawings, and travel logs.",,,,"en","Basement, 86-4, Box 1, Box 2","Open to Researchers","Further accruals are not expected","URASC","Draft",,"1920-1986"
13,12,,"F9","86-4","Artefacts","Textual records","File","University of Regina Archives & Special Collections","1 file",,,,,,"en","Basement, 86-4, Box 1, File 9","Open to Researchers",,"URASC","Draft",,"1938, 1941, 1946-47"
14,12,,"F10","86-4","Biographical Information, Margaret Messer","Textual records","File","University of Regina Archives & Special Collections","1 file",,,,,,"en","Basement, 86-4, Box 1, File 10","Open to Researchers",,"URASC","Draft",,"n.d."
15,12,,"F11","86-4","Biographical Information, Messer Family","Textual records","File","University of Regina Archives & Special Collections","1 file",,,,,,"en","Basement, 86-4, Box 1, File 11","Open to Researchers",,"URASC","Draft",,"1957-69"
16,12,,"SB1","86-4","Commissions","Textual records","Sub-Series","University of Regina Archives & Special Collections","3 files",,"This sub-series contains records related to commissions undertaken by Margaret Messer.",,,,"en","Basement, 86-4, Box 1","Open to Researchers",,"URASC","Draft",,"1950, 1983-1986, n.d."
17,16,,"F12","86-4","Deputy Minister of Public Works re: Decoration of the Chamber","Textual records","File","University of Regina Archives & Special Collections","1 file",,,,,,"en","Basement, 86-4, Box 1, File 12","Open to Researchers",,"URASC","Draft",,1950
18,16,,"F13","86-4","Diocese of Qu'Appelle, St. Matthew's Anglican Church re: Centennial Logo and Stained Glass Windows","Textual records","File","University of Regina Archives & Special Collections","1 file",,,,,,"en","Basement, 86-4, Box 1, File 13","Open to Researchers",,"URASC","Draft",,"1983-86"
19,16,,"F14","86-4","Saskatchewan Government Exhibition at the Toronto Winter Fair, Subjects for a Design","Textual records","File","University of Regina Archives & Special Collections","1 file",,,,,,"en","Basement, 86-4, Box 1, File 14","Open to Researchers",,"URASC","Draft",,"n.d."
20,12,,"SB2","86-4","Correspondence","Textual records","Sub-Series","University of Regina Archives & Special Collections","22 files",,"This sub-series contains general and professional correspondence of Margaret Messer.",,,,"en","Basement, 86-4, Box 1, Box 2","Open to Researchers",,"URASC","Draft",,"1927-1986"
21,20,,"F15","86-4","Application for a Position at the University of Saskatchewan","Textual records","File","University of Regina Archives & Special Collections","1 file",,,,,,"en","Basement, 86-4, Box 1, File 15","Open to Researchers",,"URASC","Draft",,"1959-60"
22,20,,"F16","86-4","Art","Textual records | Graphic material","File","University of Regina Archives & Special Collections","1 file",,,,,,"en","Basement, 86-4, Box 1, File 16","Open to Researchers",,"URASC","Draft",,"1945, 1951, 1961-66, 1975-79"
23,22,,"I1","86-4","Small drawing","Graphic Material","Item","University of Regina Archives & Special Collections","1 drawing",,,,,,"en","Basement, 86-4, Box 1, File 16","Open to Researchers",,"URASC","Draft",,1951
24,22,,"I2","86-4","Slide of small drawing","Textual records ","Item","University of Regina Archives & Special Collections","1 slide",,,,,,"en","Basement, 86-4, Box 1, File 16","Open to Researchers",,"URASC","Draft",,1951
25,20,,"F17","86-4","Art Scholarships","Textual records","File","University of Regina Archives & Special Collections","1 file",,,,,,"en","Basement, 86-4, Box 1, File 17","Open to Researchers",,"URASC","Draft",,1962
26,20,,"F18","86-4","Balfour","Textual records","File","University of Regina Archives & Special Collections","1 file",,,,,,"en","Basement, 86-4, Box 1, File 18","Open to Researchers",,"URASC","Draft",,"1948-51, 1966"
27,20,,"F19","86-4","Board of Education","Textual records","File","University of Regina Archives & Special Collections","1 file",,,,,,"en","Basement, 86-4, Box 1, File 19","Open to Researchers",,"URASC","Draft",,"1950, 1960-66, 1974"
